店舗名,種別,ブランド,緯度,経度,住所(番地)
ローソン,コンビニ,ローソン,38.2442586,140.3415939,
ＪＡやまがた おいしさ直売所 紅の蔵店,スーパー,,38.2465342,140.336604,
セブン-イレブン,コンビニ,セブン-イレブン,38.2163577,140.3331758,
ローソン,コンビニ,ローソン,38.2200508,140.3369201,
セブン-イレブン,コンビニ,7-ELEVEN,38.2355836,140.3442285,
サトー商会,スーパー,,38.2375385,140.3183212,
セブン-イレブン,コンビニ,7-ELEVEN,38.24633,140.3388437,
256,スーパー,,38.2481344,140.3384094,
ABS,スーパー,,38.2750433,140.3523831,
ファミリーマート,コンビニ,ファミリーマート,38.210045,140.3144344,
ローソン,コンビニ,ローソン,38.2315969,140.3325315,
ローソン,コンビニ,ローソン,38.2400633,140.3396311,
肉のびっくり市,スーパー,,38.2224658,140.3161192,
ｍoh'z,スーパー,,38.2264134,140.3269486,
業務スーパー,スーパー,業務スーパー,38.2806595,140.3577149,
清分,スーパー,,38.2362213,140.3279091,
ファミリーマート,コンビニ,ファミリーマート,38.2411943,140.3203477,
セブン-イレブン,コンビニ,セブン-イレブン,38.253029,140.314296,
ファミリーマート,コンビニ,ファミリーマート,38.2512714,140.3196185,
ローソン,コンビニ,ローソン,38.2428173,140.3124282,
ヤマザワ,スーパー,,38.3115133,140.3434848,
ローソン,コンビニ,LAWSON,38.3108876,140.3412326,
セブン-イレブン,コンビニ,セブン-イレブン,38.2395398,140.2956426,
セブン-イレブン,コンビニ,セブン-イレブン,38.238667,140.3188067,
セブン-イレブン,コンビニ,セブン-イレブン,38.2531576,140.3215866,
ファミリーマート,コンビニ,ファミリーマート,38.2711812,140.331547,
ローソン,コンビニ,ローソン,38.2618222,140.2645136,
ファミリーマート,コンビニ,ファミリーマート,38.2511388,140.2665956,
コープ,スーパー,コープ,38.2707372,140.3543613,
元気市場たかはし,スーパー,,38.2430146,140.3143973,
ローソン,コンビニ,ローソン,38.2413636,140.2878027,
セブン-イレブン,コンビニ,セブン-イレブン,38.3077955,140.3094351,
セブン-イレブン,コンビニ,7-ELEVEN,38.2405966,140.3559702,
ファミリーマート,コンビニ,ファミリーマート,38.2787998,140.3069775,
セブン-イレブン,コンビニ,7-ELEVEN,38.2789864,140.309905,
セブン-イレブン,コンビニ,7-ELEVEN,38.302515,140.348508,
ファミリーマート,コンビニ,FamilyMart,38.2164384,140.2786562,
